subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt
2,765152725,Right,,rather not say,rather not say,85,61,166153.440101767,166156.565382453,OK,6,CFS,1,0,0.5,2@,Return,3.13072210855898
2,765152725,Right,,rather not say,rather not say,86,77,166157.982181024,166161.107460965,OK,6,CFS,1,0,0.5,2@,Return,3.13071228933404
2,765152725,Right,,rather not say,rather not say,87,65,166162.524254688,166162.649263867,CAUGHT,0,NULL,0,0,0,,Return,0.130342822289094
2,765152725,Right,,rather not say,rather not say,88,64,166164.057722085,166166.932981678,OK,4,CFS,1,0,0.5,2@,Return,2.88066505850293
2,765152725,Right,,rather not say,rather not say,89,93,166168.3497781,166171.10002576,OK,3,CFS,1,0,0.5,2@,Return,2.75573583380901
2,765152725,Right,,rather not say,rather not say,90,11,166172.51682124,166175.517087368,OK,5,CFS,1,0,0.5,2@,Return,3.00572047551395
2,765152725,Right,,rather not say,rather not say,91,76,166177.200575167,166179.700801077,OK,1,CFS,1,0,0.5,2@,Return,2.50562819637707
2,765152725,Right,,rather not say,rather not say,92,34,166181.117594196,166183.992854695,OK,4,CFS,1,0,0.5,2@,Return,2.880641477881
2,765152725,Right,,rather not say,rather not say,93,97,166185.409645807,166188.534929992,OK,6,CFS,1,0,0.5,2@,Return,3.13069069784251
2,765152725,Right,,rather not say,rather not say,94,56,166189.951726875,166192.701972121,OK,3,CFS,1,0,0.5,2@,Return,2.75573340090341
2,765152725,Right,,rather not say,rather not say,95,83,166194.118762932,166197.119033409,OK,5,CFS,1,0,0.5,2@,Return,3.00584647167125
2,765152725,Right,,rather not say,rather not say,96,25,166198.53583118,166198.660843094,CAUGHT,2,NULL,0,0,0,,Return,0.130452234647237
2,765152725,Right,,rather not say,rather not say,97,31,166200.069300992,166200.194315943,CAUGHT,2,NULL,0,0,0,,Return,0.130477448372403
2,765152725,Right,,rather not say,rather not say,98,17,166201.602770964,166204.228012624,OK,2,CFS,1,0,0.5,2@,Return,2.63055683550192
2,765152725,Right,,rather not say,rather not say,99,44,166205.644800557,166208.770081724,OK,6,CFS,1,0,0.5,2@,Return,3.13068753745756
2,765152725,Right,,rather not say,rather not say,100,14,166210.186881095,166213.562180885,OK,8,CFS,1,0,0.5,2@,Return,3.38083370344248
